isosmiles
[2H]C1=C(C(=C(C(=C1[2H])[2H])[C@H](CCO)O)[2H])[2H]
[2H]C1=C(C(=C(C(=C1[2H])[2H])[C@@]([2H])(C([2H])([2H])O)O)[2H])[2H]
[2H]C1=C(C(=C(C(=C1[2H])[2H])C([2H])(C([2H])([2H])O)O)[2H])[2H]
[2H]C1=C(C(=C(C(=C1[2H])[2H])C([2H])(C([2H])([2H])[2H])O)[2H])[2H]
[2H]C1=C(C(=C(C(=C1[2H])[2H])C([2H])(C([2H])([2H])[2H])O[2H])[2H])[2H]
[2H]C1=CC(=C(C(=C1[2H])[2H])[2H])C([2H])([2H])C([2H])([2H])O[2H]
[2H]C1=C(C(=C(C(=C1[2H])[2H])C([2H])([2H])C([2H])([2H])O)[2H])[2H]
[2H]C1=C(C(=C(C(=C1[2H])[2H])C([2H])([2H])O)[2H])[2H]
[2H][13C]([2H])(C1=CC=CC=C1)O
[13CH]1=[13CH][13CH]=[13C]([13CH]=[13CH]1)CO
C1=CC=C(C(=C1)CO)[Te]C2=CC=CC=C2CO
C=C=C[C@@H](C[C@@H](C1=CC=CC=C1)O)O
CC1=C(C1)C(C2=CC=CC=C2)O
CC1=C(C1)[C@@H](C2=CC=CC=C2)O
C1=CC(=CC=C1CO)[Se][Se]C2=CC=C(C=C2)CO
CC/C(=C(/C1=CC=CC=C1)\\O)/C=C
CC(=C)C(=C)C1=CC=C(C=C1)CO
CCC(=C=C)[C@@H](C1=CC=CC=C1)O
C=CCCCCCCCCC(C1=CC=CC=C1)O
CC=C(C=C)C1=CC=CC(=C1)CO
C1=CC=C(C=C1)/C=C(/CCCCCO)\\CO
CC(=C)C=CC1=CC=CC(=C1)CO
CCCCCCC(=C)C(C1=CC=CC=C1)O
CCC/C(=C(/C1=CC=CC=C1)\\O)/CO
C#CC=CC(C1=CC=CC=C1)O
C=C(/C=C/C1=CC=C(C=C1)CO)O
C#C/C=C/C1=CC=C(C=C1)CO
C1=CC=C(C=C1)C(=C(CO)CO)CO
CC(=CC(C1=CC=CC=C1)O)C=C
CC(C)/C(=C/C(C1=CC=CC=C1)O)/C
CCCCCC/C=C/C1=CC=CC(=C1)CO
CCCCCCC=CC1=CC=CC(=C1)CO
CC(=C(C1=CC=C(C=C1)CO)F)C
C1=CC=C(C=C1)C(O)P(=S)(O)O
CC/C=C\\C=C(/C1=CC=CC=C1)\\O
CC=CC(=C)C1=CC=C(C=C1)CO
CC(=C)C=CC1=CC=C(C=C1)CO
CC(=C=C)C(C1=CC=CC=C1)O
C=CC(CC(C1=CC=CC=C1)O)(O)O
CC(=C=C)[C@H](C1=CC=CC=C1)O
CCCC=C(C(C1=CC=CC=C1)O)F
C[C@@H](C/C=C\\C[C@@H](C1=CC=CC=C1)O)O
C[C@H](C/C=C\\C[C@@H](C1=CC=CC=C1)O)O
CC(C)(C)/C=C/[C@@H](C1=CC=CC=C1)O
CC(C)(C)C=C[C@@H](C1=CC=CC=C1)O
CC(C)(C)C=CC(C1=CC=CC=C1)O
C/C(=C/CO)/CC(C1=CC=CC=C1)O
CCCCCC/C=C\\C(C1=CC=CC=C1)O
CCCCCCC=CC(C1=CC=CC=C1)O
CCCCCC/C=C\\[C@H](C1=CC=CC=C1)O
C1C[C@@H](C=C1)C(C2=CC=CC=C2)O
B(C1=CC=C(C=C1)CO)(OC)OCC=C
CCCCCC(=CC1=CC=CC=C1)CO
CCCCC/C(=C\\C1=CC=CC=C1)/CO
CCCCC/C(=C/C1=CC=CC=C1)/CO
C=CC(=C)CC(C1=CC=CC=C1)O
CC/C=C(/C)\\CC(C1=CC=CC=C1)O
CC(C)CC=CCC(C1=CC=CC=C1)O
CCCCC/C=C(/CO)\\C1=CC=CC=C1
CC/C(=C/C[C@H](C1=CC=CC=C1)O)/C
C1=CC=C(C=C1)[Se]C2=CC=CC=C2CO
CC(=CCCC(C1=CC=CC=C1)O)C
C=C=CCCC(C1=CC=CC=C1)O
CC(=CCC[C@H](C1=CC=CC=C1)O)C
C1=CC=C(C=C1)[C@H]([C@@H](/C=C/CO)O)O
C/C=C\\C=C(/C1=CC=CC=C1)\\O
CC=CC=C(C1=CC=CC=C1)O
C=CC/C=C/C1=CC=CC(=C1)CO
C=C=C(CC1=CC=CC=C1)CO
CC[C@@H](/C=C/[C@H](C1=CC=CC=C1)O)O
CC/C=C(/C(C1=CC=CC=C1)O)\\F
