idx,smiles,atoms,regressionLogistique
2,OCC[C@H](CC1)CC[C@@H]1NC(OC(C)(C)C)=O,15,0.9933724745372168
3,ClC1=C(Cl)C(N(CC2)CCN2CC[C@H](CC3)CC[C@@H]3NC(OC(C)(C)C)=O)=CC=C1,15,0.9988494103385454
4,CN(C(N[C@H]1CC[C@@H](CC1)CCN2CCN(C3=CC=CC(Cl)=C3Cl)CC2)=O)C,15,0.9987836278402413
0,O=C1N(C(C)=C)C2=CC=CC=C2N1,15,0.2942457848338615
1,O=C1N(C(C)C)C2=CC=CC=C2N1CCN3CCNCC3,15,0.9011072344032907
2,O=C1NC2=CC=CC=C2N1CCN3CCNCC3,15,0.9443068384057236
3,FC(F)(C1=CC=CC(N2CCN(CC2)CCN3C4=CC=CC=C4NC3=O)=C1)F,15,0.988925728004565
0,ClCC1=CC(F)=CC=C1.OC2=CC=C(C=O)C=C2,15,0.9499397147850389
1,FC1=CC=CC(COC2=CC=C(C=O)C=C2)=C1,15,0.9899240038512511
2,FC1=CC=CC(COC2=CC=C(CN[C@@H](C)C(N)=O)C=C2)=C1,15,0.9953190033572302
3,FC1=CC=CC(COC2=CC=C(CN[C@@H](C)C(N)=O)C=C2)=C1.CS(=O)(O)=O,15,0.9974126138918589
0,CC1=C(C[C@H](NC(OC(C)(C)C)=O)C(OC)=O)C(C)=CC(O)=C1,15,0.9978000611665835
1,O=C(O)C1=CC(C)=C(C[C@H](NC(OC(C)(C)C)=O)C(OC)=O)C(C)=C1,15,0.9972563694800156
2,O=C(N)C1=CC(C)=C(C[C@H](NC(OC(C)(C)C)=O)C(O)=O)C(C)=C1,15,0.9943874539711616
0,O=C(O)[C@H](C)NC(OCC1=CC=CC=C1)=O.O=C(CN)C2=CC=CC=C2.Cl,15,0.9966858113722318
1,C[C@H](NC(OCC1=CC=CC=C1)=O)C2=NC(C3=CC=CC=C3)=CN2,15,0.9981145854183938
2,C[C@H](N)C1=NC(C2=CC=CC=C2)=CN1,15,0.9895790169170935
3,O=C(N)C1=CC(C)=C(C[C@H](NC(OC(C)(C)C)=O)C(N([C@@H](C)C2=NC(C3=CC=CC=C3)=CN2)CC4=CC=C(OC)C(C(OC)=O)=C4)=O)C(C)=C1,15,0.9998784565770026
4,O=C(N)C1=CC(C)=C(C[C@H](N)C(N([C@@H](C)C2=NC(C3=CC=CC=C3)=CN2)CC4=CC=C(OC)C(C(O)=O)=C4)=O)C(C)=C1,15,0.9997939430130026
0,O=C1CC[C@]2(C=C)N1[C@](C(C)(C)C)([H])OC2O,15,0.02515374301085932
1,O=C1CC[C@@](C=C)(C=O)N1,15,0.03719088332351924
